ID,ID2,NAME,NoCollared,Pack,DATE_,Season,EASTING,NORTHING,HOW_OBTAIN,CONFIDENCE,PackID,elevati
255,1542,63,1,Bow valley,2/5/03,winter,585450,5675440,2,1,2,1421
256,1543,63,1,Bow valley,2/20/03,winter,587150,5673300,2,1,2,1402
257,1544,63,1,Bow valley,2/22/03,winter,586800,5674258,2,1,2,1413
258,1545,63,1,Bow valley,2/21/03,winter,587100,5672300,2,1,2,1402
259,1546,63,1,Bow valley,3/2/03,winter,603425,5659479,1,1,2,1524
260,1547,63,1,Bow valley,2/23/03,winter,589550,5670200,2,1,2,1402
261,1548,63,1,Bow valley,3/5/03,winter,579420,5678340,2,1,2,1432
262,1549,63,1,Bow valley,3/4/03,winter,578100,5679080,2,1,2,1433
263,1659,63,1,Bow valley,10/24/02,winter,587650,5671700,2,1,2,1402
264,1683,63,1,Bow valley,10/28/02,winter,583160,5675380,2,1,2,1404
265,1684,87,1,Bow valley,11/27/04,winter,585850,5674100,2,1,2,1402
266,1685,87,1,Bow valley,11/28/04,winter,574100,5678950,2,1,2,1478
268,1687,87,1,Bow valley,12/2/04,winter,575050,5678900,2,1,2,1496
269,1688,87,1,Bow valley,12/3/04,winter,588500,5671000,2,1,2,1402
270,1689,87,1,Bow valley,12/4/04,winter,592400,5669050,2,1,2,1402
271,1690,87,1,Bow valley,12/6/04,winter,591200,5664700,2,1,2,1577
272,1691,87,1,Bow valley,12/7/04,winter,592100,5665300,2,1,2,1539
273,1692,87,1,Bow valley,12/14/04,winter,586490,5672950,2,1,2,1402
274,1693,87,1,Bow valley,12/8/04,winter,593900,5668100,2,1,2,1439
275,1694,87,1,Bow valley,1/2/05,winter,596000,5668800,2,2,2,1408
276,1695,87,1,Bow valley,1/6/05,winter,594900,5669000,2,1,2,1402
277,1696,87,1,Bow valley,1/9/05,winter,593200,5669400,2,1,2,1402
278,1697,87,1,Bow valley,1/10/05,winter,586600,5674600,2,1,2,1423
279,1698,87,1,Bow valley,1/16/05,winter,583042,5677183,2,1,2,1488
280,1699,87,1,Bow valley,1/17/05,winter,584700,5675000,2,1,2,1402
281,1700,87,1,Bow valley,1/18/05,winter,588900,5670600,2,1,2,1402
282,1701,87,1,Bow valley,1/25/05,winter,588600,5673050,2,1,2,1599
283,1702,87,1,Bow valley,1/26/05,winter,587426,5672697,2,1,2,1402
284,1703,87,1,Bow valley,1/29/05,winter,585500,5673800,2,1,2,1405
285,1704,87,1,Bow valley,1/30/05,winter,590200,5669100,2,1,2,1402
286,1705,87,1,Bow valley,1/31/05,winter,595300,5669200,2,1,2,1402
287,1706,87,1,Bow valley,2/6/05,winter,583100,5677700,2,1,2,1613
288,1707,87,1,Bow valley,2/4/05,winter,577900,5678950,2,1,2,1433
289,1708,87,1,Bow valley,2/2/05,winter,577800,5679100,2,1,2,1433
290,1709,87,1,Bow valley,2/3/05,winter,569700,5683800,2,1,2,1463
291,1710,87,1,Bow valley,1/22/05,winter,583700,5675900,2,1,2,1441
292,1711,87,1,Bow valley,2/5/05,winter,577900,5678950,2,1,2,1433
293,1712,87,1,Bow valley,2/9/05,winter,591400,5668800,2,1,2,1402
294,1713,87,1,Bow valley,2/18/05,winter,589800,5669100,2,1,2,1402
295,1714,87,1,Bow valley,3/1/05,winter,586600,5674400,2,1,2,1404
296,1715,87,1,Bow valley,3/2/05,winter,588050,5673200,2,1,2,1509
297,1716,87,1,Bow valley,3/12/05,winter,584700,5675050,2,1,2,1402
298,1717,87,1,Bow valley,3/11/05,winter,586200,5673500,2,1,2,1402
299,1718,87,1,Bow valley,2/24/05,winter,573300,5682800,2,2,2,1656
300,1719,87,1,Bow valley,1/23/05,winter,577800,5678850,2,1,2,1433
301,1720,87,1,Bow valley,2/7/05,winter,585200,5676300,2,1,2,1440
302,1721,87,1,Bow valley,3/14/05,winter,587800,5672050,2,1,2,1402
303,1722,87,1,Bow valley,3/13/05,winter,589150,5670450,2,1,2,1402
304,1723,87,1,Bow valley,3/18/05,winter,587700,5671800,2,1,2,1402
